itr,mu,sigma
242,1.8512396694214877,2.8621678847073286
243,1.8477366255144032,2.8533590746668023
244,1.8442622950819672,2.844598226283257
245,1.8408163265306123,2.835885047896709
246,1.8373983739837398,2.8272192478022338
247,1.834008097165992,2.818600534347391
248,1.8306451612903225,2.810028616024974
249,1.8313253012048192,2.7988580829341467
250,1.844,2.8276639999999995
251,1.840637450199203,2.8192250916652117
252,1.8412698412698412,2.8081380700428324
253,1.841897233201581,2.797137902482463
254,1.8385826771653544,2.788905077810155
255,1.8352941176470587,2.780715109573242
256,1.83203125,2.7725677490234375
257,1.828793774319066,2.7644627473542367
258,1.8255813953488371,2.7563998557778984
259,1.8223938223938223,2.7483788255989032
260,1.8192307692307692,2.7403994082840235
261,1.8160919540229885,2.732461355529132
262,1.8129770992366412,2.7245644193228835
263,1.8136882129277567,2.714337347655741
264,1.8106060606060606,2.706554178145087
265,1.8075471698113208,2.6988109647561407
266,1.8082706766917294,2.688803776358188
267,1.8127340823970037,2.6840325996998136
268,1.8171641791044777,2.679257629761639
269,1.828996282527881,2.70681720816462
270,1.8370370370370368,2.714183813443073
271,1.8376383763837636,2.7042660094497637
272,1.8455882352941175,2.711451124567474
273,1.8424908424908424,2.7041285942384845
274,1.8394160583941603,2.6968405349246107
275,1.8363636363636362,2.6895867768595045
276,1.8514492753623186,2.7424254358328093
277,1.8772563176895307,2.9163419306911336
278,1.89568345323741,2.9999094249780036
279,1.906810035842294,3.0235736950964145
280,1.9214285714285715,3.072397959183673
281,1.9181494661921707,3.0644748673395728
282,1.9148936170212767,3.056586690810321
283,1.911660777385159,3.0487332842213033
284,1.9225352112676057,3.0714639952390397
285,1.9228070175438596,3.0607079101261925
286,1.9230769230769231,3.0500268961807424
287,1.9198606271777003,3.0423581687285264
288,1.9201388888888888,3.0318166473765435
289,1.9204152249134947,3.021347924474085
290,1.9172413793103449,3.013840665873959
291,1.9140893470790379,3.006365064182047
292,1.9143835616438356,2.9960944830174507
293,1.9112627986348123,2.9887127398105964
294,1.9081632653061225,2.981361932528112
295,1.911864406779661,2.9752829646653245
296,1.9155405405405406,2.969217951059166
297,1.9124579124579124,2.9620333526057414
298,1.9093959731543624,2.9548781586415007
299,1.9063545150501673,2.9477522622789425
300,1.91,2.941899999999998
301,1.9069767441860466,2.934868268562155
302,1.9105960264900663,2.929093022235864
303,1.9108910891089108,2.91945234127373
304,1.9111842105263157,2.909874913434902
305,1.9114754098360656,2.9003601182477814
306,1.911764705882353,2.8909073433294874
307,1.9120521172638436,2.8815159842544738
308,1.9090909090909092,2.8748524203069645
309,1.9061488673139158,2.8682146186152213
310,1.9064516129032258,2.858990634755463
311,1.9131832797427653,2.863845493739726
312,1.9134615384615385,2.8546905818540433
313,1.9105431309904153,2.848227500535885
314,1.9267515923566878,2.9213862631344076
315,1.9365079365079365,2.942000503905266
316,1.9367088607594938,2.9327030924531323
317,1.9400630914826498,2.927006936082557
318,1.9371069182389937,2.920572762153396
319,1.9341692789968652,2.91416161397785
320,1.934375,2.905068359375
321,1.9345794392523366,2.896031676711212
322,1.9316770186335404,2.889741908105397
323,1.9287925696594428,2.883474393505161
324,1.9320987654320987,2.878105471726871
325,1.9292307692307693,2.8719147928994078
326,1.9263803680981595,2.865745793970417
327,1.926605504587156,2.856998569144011
328,1.923780487804878,2.8508979030339083
329,1.9209726443768997,2.8448185068504537
330,1.9181818181818182,2.8387603305785127
331,1.9154078549848943,2.8327233230802933
332,1.9126506024096386,2.8267074321381913
333,1.912912912912913,2.818241665088512
334,1.9221556886227544,2.8382516404317113
335,1.9194029850746268,2.832310091334373
336,1.9196428571428572,2.823899872448979
337,1.9258160237388724,2.8283246308411623
338,1.9230769230769231,2.8224852071005917
339,1.920353982300885,2.816665361422194
340,1.9176470588235295,2.810865051903114
341,1.9237536656891496,2.8153008660056247
342,1.932748538011696,2.8346585274101432
343,1.9387755102040816,2.838817159516868
344,1.938953488372093,2.8305756489994596
345,1.936231884057971,2.824919134635581
346,1.9335260115606936,2.819280630826289
347,1.930835734870317,2.813660108463653
348,1.9339080459770115,2.8088502444180206
349,1.9312320916905443,2.803293897422846
350,1.9428571428571428,2.842448979591837
351,1.9401709401709402,2.8368763240558112
352,1.9488636363636365,2.8553396177685944
353,1.9461756373937678,2.849794156120344
354,1.9491525423728813,2.844872163171503
355,1.9464788732394367,2.83938901011704
356,1.9438202247191012,2.8339224845347806
357,1.9467787114845938,2.8291002675580033
358,1.9441340782122905,2.8236946412409103
359,1.9415041782729805,2.818305258339088
360,1.9388888888888889,2.812932098765432
361,1.9390581717451523,2.8051503594969347
362,1.9364640883977902,2.799830591251793
363,1.9338842975206612,2.7945267855110076
364,1.9313186813186813,2.789238920420239
365,1.9287671232876713,2.7839669731656964
366,1.9316939890710383,2.779487294335453
367,1.9291553133514987,2.7742725835071904
368,1.9266304347826086,2.769073428638942
369,1.924119241192412,2.7638898069197495
370,1.9216216216216215,2.758721694667641
371,1.9191374663072776,2.7535690673563837
372,1.9220430107526882,2.7492990519135154
373,1.9222520107238605,2.7419445263029276
374,1.9224598930481283,2.7346292430438393
375,1.92,2.7296000000000005
376,1.9175531914893618,2.7245855024898136
377,1.9151193633952255,2.7195857284579503
378,1.9126984126984128,2.7146006550768447
379,1.9102902374670185,2.7096302587701278
380,1.9078947368421053,2.7046745152354568
381,1.905511811023622,2.6997333994667994
382,1.9083769633507854,2.695793700830569
383,1.9060052219321149,2.690903885090225
384,1.9114583333333333,2.695285373263889
